ProductKey,Product Name,Subcategory,Category,Color,ProductFamily,BrandKey
1,Contoso 512MB MP3 Player E51 Silver,MP4&MP3,Audio,Silver,Contoso 512MB MP3 Player E51,3
2,Contoso 512MB MP3 Player E51 Blue,MP4&MP3,Audio,Blue,Contoso 512MB MP3 Player E51,3
3,Contoso 1G MP3 Player E100 White,MP4&MP3,Audio,White,Contoso 1G MP3 Player E100,3
4,Contoso 2G MP3 Player E200 Silver,MP4&MP3,Audio,Silver,Contoso 2G MP3 Player E200,3
5,Contoso 2G MP3 Player E200 Red,MP4&MP3,Audio,Red,Contoso 2G MP3 Player E200,3
6,Contoso 2G MP3 Player E200 Black,MP4&MP3,Audio,Black,Contoso 2G MP3 Player E200,3
7,Contoso 2G MP3 Player E200 Blue,MP4&MP3,Audio,Blue,Contoso 2G MP3 Player E200,3
8,Contoso 4G MP3 Player E400 Silver,MP4&MP3,Audio,Silver,Contoso 4G MP3 Player E400,3
9,Contoso 4G MP3 Player E400 Black,MP4&MP3,Audio,Black,Contoso 4G MP3 Player E400,3
10,Contoso 4G MP3 Player E400 Green,MP4&MP3,Audio,Green,Contoso 4G MP3 Player E400,3
11,Contoso 4G MP3 Player E400 Orange,MP4&MP3,Audio,Orange,Contoso 4G MP3 Player E400,3
12,Contoso 4GB Flash MP3 Player E401 Blue,MP4&MP3,Audio,Blue,Contoso 4GB Flash MP3 Player E401,3
13,Contoso 4GB Flash MP3 Player E401 Black,MP4&MP3,Audio,Black,Contoso 4GB Flash MP3 Player E401,3
14,Contoso 4GB Flash MP3 Player E401 Silver,MP4&MP3,Audio,Silver,Contoso 4GB Flash MP3 Player E401,3
15,Contoso 4GB Flash MP3 Player E401 White,MP4&MP3,Audio,White,Contoso 4GB Flash MP3 Player E401,3
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,MP4&MP3,Audio,White,Contoso 8GB Super-Slim MP3/Video Player M800,3
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,MP4&MP3,Audio,Red,Contoso 8GB Super-Slim MP3/Video Player M800,3
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,MP4&MP3,Audio,Green,Contoso 8GB Super-Slim MP3/Video Player M800,3
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,MP4&MP3,Audio,Pink,Contoso 8GB Super-Slim MP3/Video Player M800,3
20,Contoso 8GB MP3 Player new model M820 Black,MP4&MP3,Audio,Black,Contoso 8GB MP3 Player new model M820,3
21,Contoso 8GB MP3 Player new model M820 Blue,MP4&MP3,Audio,Blue,Contoso 8GB MP3 Player new model M820,3
22,Contoso 8GB MP3 Player new model M820 Yellow,MP4&MP3,Audio,Yellow,Contoso 8GB MP3 Player new model M820,3
23,Contoso 8GB MP3 Player new model M820 White,MP4&MP3,Audio,White,Contoso 8GB MP3 Player new model M820,3
24,Contoso 16GB Mp5 Player M1600 Blue,MP4&MP3,Audio,Blue,Contoso 16GB Mp5 Player M1600,3
25,Contoso 16GB Mp5 Player M1600 Black,MP4&MP3,Audio,Black,Contoso 16GB Mp5 Player M1600,3
26,Contoso 16GB Mp5 Player M1600 Green,MP4&MP3,Audio,Green,Contoso 16GB Mp5 Player M1600,3
